"year","month","day","hour","variable","lat","lon","depth","depthFrac","value"
2019,8,21,8,"v",46.70363,-124.27813,25,-999,0.0941448158570038
2019,8,20,16,"v",47.58826,-124.65626,25,-999,-0.132078715647456
2020,7,30,2,"u",49.20155,-122.59584,25,-999,-999
2021,4,14,18,"v",49.201638,-122.59577,25,-999,-999
2020,9,18,22,"v",48.50506167,-124.5163567,25,-999,-0.056636308556682
2019,8,7,9,"rho",48.0734,-122.677,25,-999,-999
2020,8,11,6,"temp",48.2681,-124.0603,25,-999,9.09061307287012
2019,11,22,20,"v",48.2626,-124.0669,25,-999,-0.284508075142555
2020,7,23,23,"v",47.2508,-122.581,25,-999,0.224453662456014
2019,7,25,18,"u",47.74177,-124.57952,25,-999,0.0257428681304416
2019,7,28,22,"u",47.67061,-124.60012,25,-999,-0.00685293639409385
2021,3,14,15,"temp",48.49458,-123.19435,25,-999,7.51340153358001
2020,9,10,7,"temp",48.560217,-124.412,25,-999,-999
2019,8,3,3,"w",48.365687,-123.939745,25,-999,-0.00053536481431213
2019,8,3,22,"w",48.2302,-124.1072,25,-999,-0.00151797322639923
2019,8,26,23,"zooplankton",48.25722,-124.0737,25,-999,0.0939216692861413
2021,8,16,13,"w",46.24425,-124.10841,25,-999,-0.00025004135103857
2021,8,3,16,"u",48.23015,-124.107365,25,-999,-0.356517251195936
2019,7,8,24,"temp",48.54285,-124.5669833,25,-999,9.3925472558695
2021,6,29,5,"temp",48.51635,-124.93437,25,-999,9.80579808014678
2020,10,20,3,"u",48.246313,-124.087122,25,-999,0.234088250003995
2021,4,24,19,"temp",48.56027,-124.908,25,-999,8.12118046284732
2020,6,10,14,"rho",48.2355,-124.1005,25,-999,25.4600638780549
2019,8,27,4,"rho",46.49107,-124.08006,25,-999,25.9480477409145
2020,11,27,6,"zooplankton",46.49184,-124.2739,25,-999,0.0673750084301663
2019,11,17,19,"rho",48.2355,-124.1005,25,-999,25.1478196437764
2020,9,16,4,"w",48.56022,-124.412,25,-999,-999
2020,3,7,13,"w",48.224645,-124.114072,25,-999,-999
2020,9,6,17,"rho",48.2952,-124.0269,25,-999,24.8043563252919
2021,8,15,8,"rho",47.74547,-122.41756,25,-999,23.2313718736837
2021,8,11,9,"w",47.744285,-122.4666547,25,-999,-0.00190391075584215
2021,7,15,22,"u",46.49159,-124.25067,25,-999,0.0218737661060346
2019,8,4,6,"v",48.3059,-124.0133,25,-999,0.00248750597617427
2021,8,18,24,"temp",47.7466,-122.3944,25,-999,12.0950504387276
2020,5,21,9,"rho",48.327872,-123.986564,25,-999,24.4682001303762
2019,8,15,9,"rho",48.33324,-123.979644,25,-999,24.5715223751752
2020,9,7,21,"v",49.20359,-122.59015,25,-999,-999
2021,8,29,22,"u",46.27124,-124.11625,25,-999,0.0180067109791856
2021,10,18,17,"temp",49.203627,-122.59012,25,-999,-999
2020,9,14,6,"w",48.55306,-124.935,25,-999,0.00246779173152233
2019,7,9,23,"temp",48.54953333,-124.5467333,25,-999,-999
2019,11,3,7,"rho",48.2355,-124.1005,25,-999,25.3396341196117
2020,10,4,6,"temp",48.278858,-124.046888,25,-999,9.68706968801191
2020,9,14,8,"u",48.55306,-124.935,25,-999,0.0623297231991456
2019,9,2,6,"w",49.12326,-122.30035,25,-999,-999
2020,9,18,15,"rho",48.73344,-123.58323,25,-999,-999
2019,8,10,19,"v",49.12902,-122.29969,25,-999,-999
2019,11,1,3,"rho",48.246313,-124.087122,25,-999,25.3366949896736
2019,9,3,4,"zooplankton",49.20155,-122.5958,25,-999,-999
2021,7,12,20,"temp",47.7466,-122.4573,25,-999,11.4301088784008
2020,8,28,19,"temp",49.20155,-122.59584,25,-999,-999
2021,4,4,5,"rho",48.76831,-123.03953,25,-999,23.9349538865525
2021,1,16,9,"u",46.49182,-124.28694,25,-999,0.0461295076160362
2019,8,25,6,"u",48.2735,-124.0536,25,-999,0.109543495238997
2021,8,2,23,"zooplankton",48.24638,-124.0869,25,-999,0.12430248071213
2019,9,1,17,"zooplankton",46.20276,-123.9407,25,-999,-999
2021,5,25,19,"u",48.34916,-123.958405,25,-999,-0.664621119673892
2019,9,3,18,"temp",46.22556,-123.97609,25,-999,15.1345662214545
2020,9,9,13,"w",46.26602,-123.4583,25,-999,-7.1881459459559e-05
2020,7,27,21,"w",48.89074,-125.78891,25,-999,-0.00034102270656946
2021,3,2,23,"temp",46.49182,-124.28694,25,-999,8.32578933920514
2019,8,18,8,"zooplankton",48.0731,-122.6329,25,-999,0.248467467310572
2020,7,26,14,"w",48.273503,-124.053648,25,-999,0.0005446921084774
2020,8,10,5,"zooplankton",48.62109,-124.9533,25,-999,0.192332154454874
2020,9,9,6,"w",48.54328,-124.5678,25,-999,5.94432972065997e-05
2020,11,30,12,"w",46.49186,-124.24786,25,-999,-0.00052332398036398
2021,8,30,7,"temp",46.25344,-124.11137,25,-999,10.1167776920852
2021,8,31,9,"u",46.25344,-124.11137,25,-999,-0.387727283791767
2019,8,11,8,"rho",48.301033,-123.3910166,25,-999,24.7168002892532
2021,7,2,8,"v",48.57325,-124.90165,25,-999,-0.0399716861136126
2019,11,11,20,"v",48.2355,-124.1005,25,-999,-0.164210262373671
2020,8,6,9,"v",48.0729,-122.6265,25,-999,0.533380481794209
2021,5,14,23,"u",48.64935,-124.85673,25,-999,0.0990815939705141
2019,11,3,6,"temp",48.240975,-124.093772,25,-999,8.28424577688692
2021,8,5,10,"u",47.7464,-122.4039,25,-999,-0.0115993807839423
2021,5,16,12,"w",48.235399,-124.100234,25,-999,0.00300392970410546
2019,7,14,13,"w",48.40083333,-123.4091,25,-999,0.00256943215760802
2019,7,2,22,"u",48.23017,-124.107242,25,-999,0.543498824636588
2021,8,18,20,"zooplankton",46.28131,-124.1787,25,-999,0.0363304099066718
2021,6,26,14,"zooplankton",48.94005,-125.7861,25,-999,0.0757190846972198
2019,8,10,22,"v",48.43674,-124.80602,25,-999,0.10921504124206
2020,8,6,9,"rho",48.0731,-122.622,25,-999,23.2343418151953
2020,9,18,17,"temp",48.73344,-123.58323,25,-999,-999
2019,9,18,3,"u",48.241,-124.0938,25,-999,0.602358122366071
2020,11,28,20,"u",46.49167,-124.37814,25,-999,0.0100747747703378
2020,11,5,18,"rho",48.2302,-124.1072,25,-999,24.797411853073
2020,8,29,8,"v",48.262582,-124.066922,25,-999,0.0481198966724909
2019,6,28,12,"rho",47.66911,-124.66082,25,-999,25.7419214469319
2020,6,5,24,"zooplankton",48.2735,-124.0536,25,-999,0.195318542631678
2020,8,20,5,"rho",48.257217,-124.073665,25,-999,24.7786930998277
2020,8,10,6,"w",48.62109,-124.95328,25,-999,0.00053327330213829
2021,7,28,7,"v",48.64935,-124.85673,25,-999,0.121705575761848
2019,6,29,9,"v",48.0733,-122.6814,25,-999,-999
2020,8,13,21,"rho",46.20806,-123.76891,25,-999,-999
2020,9,12,7,"v",48.560217,-124.412,25,-999,-999
2021,8,2,18,"v",46.58445,-124.48559,25,-999,-0.189629166223228
2020,8,14,8,"w",48.289725,-124.033667,25,-999,0.00135242491765383
2020,8,1,13,"rho",46.28328,-124.19144,25,-999,25.14038777254
2019,8,6,7,"temp",48.41681,-124.94191,25,-999,8.74597284738944
2020,9,12,17,"rho",46.26602,-123.4583,25,-999,-1.85168544111245
2020,8,20,4,"temp",48.2518,-124.0802,25,-999,8.95030138433453
2019,11,21,24,"zooplankton",48.2626,-124.0669,25,-999,0.0502068723944233
2019,8,4,13,"rho",48.40083333,-123.4091,25,-999,24.3038039204021
2020,11,1,10,"v",48.56185,-124.399917,25,-999,-999
2021,1,18,11,"zooplankton",46.49182,-124.2869,25,-999,0.0583968726665583
2020,2,18,7,"w",48.2626,-124.0669,25,-999,0.00280255705315142
2020,5,30,6,"u",48.300465,-124.020237,25,-999,0.574941270016134
2021,8,13,5,"zooplankton",48.57325,-124.9017,25,-999,0.118531412954575
2019,8,10,14,"w",48.24098,-124.09377,25,-999,0.00542206477495636
2021,1,12,10,"u",48.355786,-124.215136,25,-999,0.741189625894471
2020,11,5,20,"v",48.235522,-124.100512,25,-999,-0.120978017925243
2020,12,12,21,"w",46.29748,-124.27997,25,-999,0.00121168463333668
2019,9,25,24,"temp",47.50911,-124.53484,25,-999,11.9779231653955
2019,8,16,13,"u",48.2246,-124.1141,25,-999,-999
2021,8,12,9,"v",47.7465,-122.4485,25,-999,0.249528027192484
2021,4,13,14,"u",48.94005,-125.78613,25,-999,-0.143322816634051
2021,8,12,8,"w",47.7465,-122.3858,25,-999,-0.00254732749809004
2019,7,14,24,"w",48.376393,-123.925873,25,-999,-999
2021,8,10,21,"v",47.746647,-122.3904,25,-999,0.151206353253143
2019,8,5,12,"rho",48.47358,-124.99189,25,-999,25.3725844176067
2020,3,17,24,"u",48.268098,-124.060348,25,-999,-0.943705394845037
2020,11,2,16,"rho",48.56185,-124.399917,25,-999,-999
2021,8,8,24,"v",48.0699,-122.6453,25,-999,-1.39309226540762
2020,9,3,11,"v",48.3385,-123.9731,25,-999,-0.128549619082186
2019,8,26,18,"v",48.301033,-123.3910166,25,-999,0.25851611357808
2019,11,7,16,"u",48.235522,-124.100512,25,-999,-0.149410071703251
2020,8,18,7,"zooplankton",46.20806,-123.7689,25,-999,-999
2021,7,28,18,"rho",48.57325,-124.90165,25,-999,24.9570374426642
2019,7,25,3,"w",48.51978,-123.1616,25,-999,0.00076722993073815
2020,3,15,10,"u",48.262582,-124.066922,25,-999,-0.623043033090683
2021,8,12,16,"v",47.7464,-122.4039,25,-999,-0.0365658464906183
2019,9,4,10,"v",46.20276,-123.94066,25,-999,-999
2019,7,25,24,"v",48.56431667,-124.6309833,25,-999,NA
2020,11,2,4,"v",48.56185,-124.399917,25,-999,-999
2021,4,7,17,"v",48.94802,-125.76983,25,-999,-0.0373980993183734
2019,9,21,16,"temp",46.3173,-124.10741,25,-999,14.5697607778936
2019,6,27,1,"zooplankton",48.55225,-124.5621,25,-999,-999
2019,11,9,6,"w",48.43631,-124.80592,25,-999,-0.00189964844640748
2019,8,5,14,"zooplankton",48.5183,-123.1963,25,-999,0.135518253782293
2021,8,21,5,"temp",46.49162,-124.44662,25,-999,9.11621961652889
2020,7,22,18,"v",48.2246,-124.1141,25,-999,-999
2020,6,16,22,"w",48.23017,-124.107242,25,-999,0.00023312378777844
2019,12,2,20,"zooplankton",48.2626,-124.0669,25,-999,0.0295259396051525
2020,8,4,10,"u",48.0731,-122.6329,25,-999,-0.0217497737262941
2019,8,7,6,"zooplankton",48.0699,-122.6453,25,-999,0.24316954579834
2019,7,24,24,"v",48.53965,-124.5509333,25,-999,0.1026281350721
2020,7,23,14,"rho",48.295103,-124.027068,25,-999,24.5688562618832
2020,8,18,2,"u",48.556167,-124.634983,25,-999,0.412498801149909
2021,3,6,7,"temp",46.49182,-124.28694,25,-999,8.96957692350141
2021,4,10,19,"w",49.201638,-122.59577,25,-999,-999
2020,8,14,1,"v",48.268098,-124.060348,25,-999,-0.14452799695193
2021,6,30,17,"w",48.94802,-125.76983,25,-999,0.00022338599550445
2020,5,23,7,"zooplankton",48.2952,-124.0269,25,-999,0.248887277181495
2020,9,18,10,"zooplankton",48.74506,-123.5755,25,-999,-999
2019,8,2,23,"v",48.354788,-123.953065,25,-999,-0.203035751475768
2020,8,22,10,"v",48.37639,-123.92555,25,-999,-999
2019,11,9,8,"temp",48.43631,-124.80592,25,-999,9.40971736553048
2020,5,3,9,"rho",48.289725,-124.033667,25,-999,25.2004038862465
2021,9,9,20,"rho",49.19283,-123.34668,25,-999,23.2368855050589
2021,8,18,20,"w",46.28131,-124.17873,25,-999,0.00034033565131571
2019,9,9,14,"zooplankton",48.23017,-124.1072,25,-999,0.124617310085207
2021,8,14,17,"u",46.58479,-124.32777,25,-999,-0.0119499687440034
2019,6,26,2,"w",48.54285,-124.567,25,-999,0.00193768235317872
2021,7,28,20,"w",48.57325,-124.90165,25,-999,0.00069588057328604
2020,7,13,20,"v",48.0699,-122.6453,25,-999,-0.12710076477075
2021,6,25,22,"w",48.94802,-125.76983,25,-999,-0.00113786067838678
2019,9,11,23,"u",46.1687,-123.99584,25,-999,0.0504131869903326
2020,6,11,15,"w",48.23017,-124.107242,25,-999,0.00354862003389994
2019,7,11,24,"v",48.0734,-122.677,25,-999,-999
2021,6,30,23,"w",48.93222,-125.80227,25,-999,0.00045613633148688
2020,8,21,19,"w",48.37639,-123.9256,25,-999,-999
2019,8,23,17,"zooplankton",48.5183,-123.1963,25,-999,0.139241228671293
2019,8,19,5,"zooplankton",46.86517,-124.3402,25,-999,0.0756032164264102
2021,8,28,10,"w",46.30305,-124.13751,25,-999,-0.00029628223322619
2019,9,14,5,"v",49.20155,-122.59584,25,-999,-999
2019,6,29,5,"u",47.26806,-124.4078,25,-999,0.0415533062696355
2021,8,28,18,"v",46.26602,-123.4583,25,-999,0.115018837828703
2020,8,6,17,"u",48.344,-123.9664,25,-999,-0.592608307656408
2021,7,5,21,"temp",48.51635,-124.93437,25,-999,9.64288874106185
2021,7,22,16,"zooplankton",48.59892,-124.8855,25,-999,0.141228355725522
2020,8,20,8,"temp",48.90112,-125.84595,25,-999,10.3184574782377
2019,8,2,14,"w",48.354788,-123.953065,25,-999,0.0010586712971566
2021,4,27,10,"v",48.94802,-125.76983,25,-999,-0.0213891248708775
2019,8,22,14,"u",48.27886,-124.04689,25,-999,0.313382131399158
2019,10,26,8,"w",48.2735,-124.0536,25,-999,0.00053064911272531
2020,9,14,24,"rho",48.560217,-124.412,25,-999,-999
2019,9,11,3,"u",48.2626,-124.0669,25,-999,-0.328287016000014
2019,11,20,15,"w",48.23017,-124.107242,25,-999,0.00039938031353508
2021,9,4,3,"rho",49.713327,-124.766494,25,-999,23.1750062261208
2021,8,21,13,"v",49.709637,-124.79635,25,-999,0.0895913050738125
2020,9,21,15,"temp",48.56185,-124.399917,25,-999,-999
2020,6,3,19,"w",48.2302,-124.1072,25,-999,0.00090541079308706
2020,9,26,22,"w",49.20155,-122.59584,25,-999,-999
2020,8,26,2,"w",46.26602,-123.4583,25,-999,-6.01100787633216e-05
2021,8,12,16,"u",47.7464,-122.4039,25,-999,0.00938187000211923
2019,9,5,19,"v",49.12326,-122.30035,25,-999,-999
2019,7,9,1,"temp",48.53653,-124.9873,25,-999,8.6998626869452
2020,7,25,12,"w",48.38475,-125.80544,25,-999,-0.00193256327672236
2020,9,9,6,"zooplankton",48.54328,-124.5678,25,-999,0.234260297503233
2019,8,9,2,"w",48.300465,-124.020237,25,-999,0.00134415329947604
2020,11,17,5,"rho",46.49184,-124.27391,25,-999,24.3395961186895
2019,8,7,3,"w",48.39053,-124.98057,25,-999,0.00101282678107277
2021,5,9,6,"w",48.91558,-125.83825,25,-999,0.00019518649036221
2021,7,25,19,"temp",48.9085,-125.85252,25,-999,9.35794508831892
