"year","month","day","hour","variable","lat","lon","depth","depthFrac","value"
2019,7,20,23,"temp",48.43556,-124.86707,25,-999,8.34265280334933
2020,8,22,18,"w",48.295103,-124.027068,25,-999,-0.00340069902166892
2020,7,26,22,"v",48.2302,-124.1072,25,-999,0.254721679948428
2019,8,31,6,"zooplankton",49.12326,-122.30035,25,-999,-999
2019,8,18,5,"oxygen",48.0729,-122.6265,25,-999,190.797851367825
2019,9,4,22,"oxygen",49.20155,-122.59584,25,-999,-999
2019,8,12,18,"u",48.53653,-124.9873,25,-999,-0.129784737112771
2019,11,17,4,"zooplankton",48.2844,-124.0405,25,-999,0.0461237418465671
2021,6,13,17,"phytoplankton",48.316935,-124.000354,25,-999,2.33641173783638
2019,8,24,2,"v",47.82894,-124.84626,25,-999,-0.232692182656739
2020,7,28,11,"u",48.89074,-125.78891,25,-999,-0.141548957191852
2019,7,4,23,"w",48.53965,-124.5509333,25,-999,0.00253788257973561
2019,11,4,8,"zooplankton",48.241,-124.0938,25,-999,0.0514006248066009
2021,6,19,7,"phytoplankton",48.97985,-125.70122,25,-999,1.71054906265135
2020,7,27,5,"w",47.7484,-122.4369,25,-999,6.13693589241645e-05
2019,8,3,7,"temp",48.0731,-122.622,25,-999,11.6019799604112
2021,7,12,19,"u",47.7464,-122.4439,25,-999,-0.0354996745206705
2020,11,20,1,"v",46.29343,-124.25467,25,-999,0.259357161969182
2021,8,15,19,"u",48.224693,-124.113946,25,-999,-999
2020,5,31,21,"phytoplankton",48.2735,-124.0536,25,-999,1.09147461458881
2020,8,2,12,"phytoplankton",48.92206,-125.72916,25,-999,1.202505370921
2019,9,8,12,"v",48.2572,-124.0737,25,-999,0.107922808172352
2020,10,26,11,"u",48.56185,-124.399917,25,-999,-999
2019,8,4,8,"v",48.376393,-123.925873,25,-999,-999
2020,9,21,12,"zooplankton",48.56185,-124.399917,25,-999,-999
2020,9,10,23,"zooplankton",48.543283,-124.5678,25,-999,0.342219269754719
2020,5,15,12,"w",48.2355,-124.1005,25,-999,0.00181380100622766
2021,4,15,7,"zooplankton",49.201638,-122.59577,25,-999,-999
2020,9,11,6,"v",48.5521,-124.562067,25,-999,-999
2020,10,14,21,"w",48.49719,-125.01698,25,-999,-0.00164601415117921
2020,10,7,22,"oxygen",48.2302,-124.1072,25,-999,197.437131592648
2019,8,26,22,"v",48.2518,-124.0802,25,-999,-0.253756999274617
2021,6,23,1,"temp",48.97985,-125.70122,25,-999,10.0154300581273
2020,8,21,1,"v",48.2355,-124.1005,25,-999,-0.445381528621255
2020,2,1,8,"zooplankton",48.32219,-124.95415,25,-999,0.0119571255497055
2019,9,10,10,"zooplankton",48.58995,-123.23623,25,-999,0.13917465472019
2019,7,21,1,"oxygen",47.75021,-124.66377,25,-999,158.675234913698
2020,10,18,12,"v",48.2246,-124.1141,25,-999,-999
2020,6,4,3,"phytoplankton",48.273503,-124.053648,25,-999,1.07585925228377
2021,8,3,18,"zooplankton",46.58471,-124.22362,25,-999,0.0264851994043632
2021,6,2,5,"w",48.5481,-124.91562,25,-999,-0.00117574842974057
2019,7,18,24,"temp",47.7466,-122.3904,25,-999,12.0291385059161
2019,11,6,5,"w",48.235522,-124.100512,25,-999,0.00166246441657633
2021,7,27,18,"oxygen",48.29523,-124.027179,25,-999,168.784139694365
2019,10,30,3,"phytoplankton",48.2518,-124.0802,25,-999,0.427425003723867
2021,7,28,3,"zooplankton",48.64935,-124.85673,25,-999,0.139191095828627
2020,7,23,18,"phytoplankton",48.241,-124.0938,25,-999,2.47509262755817
2019,7,11,23,"zooplankton",48.376393,-123.925873,25,-999,-999
2020,9,5,13,"phytoplankton",48.28437,-124.04045,25,-999,2.28275385260625
2021,8,5,16,"oxygen",47.7465,-122.4396,25,-999,181.483361423949
2020,5,22,21,"temp",48.257217,-124.073665,25,-999,9.31392808209501
2019,8,5,7,"zooplankton",49.12326,-122.30035,25,-999,-999
2021,8,9,2,"w",48.73895,-123.25557,25,-999,0.00598086704509494
2020,8,15,6,"zooplankton",48.316762,-123.9999,25,-999,0.198854847764591
2020,5,17,4,"oxygen",48.2789,-124.0469,25,-999,214.788208226301
2021,3,21,20,"phytoplankton",48.355786,-124.215136,25,-999,2.03222101773621
2020,9,6,18,"zooplankton",48.300465,-124.020237,25,-999,0.12111997281905
2019,7,28,10,"zooplankton",48.11203,-124.85478,25,-999,0.0365189817319555
2021,7,23,8,"w",48.94005,-125.78613,25,-999,0.00210216063049151
2020,9,8,6,"temp",49.20359,-122.59015,25,-999,-999
2020,8,22,23,"temp",48.2681,-124.0603,25,-999,9.31580348091191
2019,8,24,10,"temp",46.49093,-124.09909,25,-999,8.36805774933852
2020,3,5,12,"zooplankton",48.3059,-124.0133,25,-999,0.0890844751124989
2019,7,3,7,"w",47.34882,-124.4125,25,-999,-0.00020535004998718
